CCAA,Año,Indice_IPC,Precio_Vivienda_IPV,Renta_Media,Pob_Adulta,Pob_Joven,Pob_Senior,Ratio_Esfuerzo,Renta_Ajustada_IPC,Pct_Pob_Joven
Castilla-Leon,2015,19.114,100.0,15284,898653.0,984763.0,587112.0,6.54278984559016,20963.76647593662,39.86042659706751
Castilla-Leon,2016,19.195,101.056,15645,896813.0,960459.0,588714.0,6.459316075423458,21368.36615895038,39.26674151037659
Castilla-Leon,2017,20.358,102.71,16300,893401.0,941067.0,589762.0,6.30122699386503,20991.156198778695,38.81921269846508
Castilla-Leon,2018,20.777,106.92,17264,889487.0,925826.0,592287.0,6.193234476367007,21784.242028761553,38.4543113473999
Castilla-Leon,2019,20.634,112.083,17233,886504.0,915312.0,596142.0,6.503974931816863,21895.82572453232,38.17047671393744
Castilla-Leon,2020,19.765,114.72,18284,886667.0,906151.0,600469.0,6.274338219208051,24252.597536847425,37.862195382334
Castilla-Leon,2021,22.7,118.8,18181,886098.0,894923.0,600459.0,6.534294043231945,20997.895766287962,37.57843861800225
Castilla-Leon,2022,26.656,125.988,19117,883221.0,879400.0,608135.0,6.59036459695559,18802.19819770013,37.09365282635581
Cataluña,2008,19.294,162.198,18566,2420788.0,3757095.0,1185111.0,8.73629214693526,25227.832443137482,51.02672907243983
Cataluña,2009,17.979,143.716,18978,2473239.0,3794882.0,1206094.0,7.572768468753294,27673.798589582577,50.77298418629916
Cataluña,2010,19.063,139.892,19239,2519971.0,3764095.0,1226908.0,7.27127189562867,26459.10274243022,50.11460564235743
Cataluña,2011,20.008,126.522,18170,2558921.0,3726546.0,1252607.0,6.9632361034672545,23808.66884825017,49.43631489953535
Cataluña,2012,20.568,106.513,18136,2604078.0,3690812.0,1274381.0,5.873014997794442,23117.097750209825,48.76046847840433
Cataluña,2013,20.085,94.337,17883,2630036.0,3626200.0,1295654.0,5.275233461947101,23342.770834479772,48.01711889341608
Cataluña,2014,19.674,95.396,18104,2637447.0,3556576.0,1322996.0,5.269332744144941,24124.912109489946,47.313649200567404
Cataluña,2015,19.709,100.0,18236,2644842.0,3514561.0,1346587.0,5.483658697082693,24257.657506188723,46.823417030931296
Cataluña,2016,19.76,107.02,18828,2661613.0,3495633.0,1363220.0,5.684087529211812,24980.49933944171,46.48160100717163
Cataluña,2017,20.776,117.26,18957,2675126.0,3496579.0,1381937.0,6.185577886796434,23921.67244593964,46.28997508751407
Cataluña,2018,21.214,127.548,19791,2688885.0,3506076.0,1402865.0,6.44474761255116,24458.456143658852,46.145779068907345
Cataluña,2019,20.995,134.144,20049,2711309.0,3538203.0,1423335.0,6.6908075215721485,25035.755570875266,46.11330057799927
Cataluña,2020,20.229,136.892,20872,2751198.0,3579286.0,1447484.0,6.5586431582981985,27050.38917031567,46.018265953266976
Cataluña,2021,22.693,141.623,20927,2769259.0,3533968.0,1457535.0,6.7674774215128775,24176.80608209811,45.53635326015667
Cataluña,2022,26.092,151.701,21637,2796353.0,3514279.0,1479143.0,7.011184544992373,21740.70089642318,45.1139987997086
Ceuta,2008,20.265,137.436,13458,23031.0,45748.0,8607.0,10.21221578243424,17410.76211772955,59.11663608404621
Ceuta,2009,19.167,131.519,14261,23744.0,46185.0,8742.0,9.222284552275436,19506.515760366634,58.70651192942762
Ceuta,2010,19.753,126.516,15332,24755.0,47009.0,8806.0,8.251761022697627,20349.306482426382,58.34553804145464
Ceuta,2011,20.533,115.555,16208,25637.0,47782.0,8951.0,7.129503948667325,20694.783473074145,58.00898385334467
Ceuta,2012,20.888,101.323,15511,26507.0,48420.0,9084.0,6.532331893494939,19468.245086577026,57.63530966183
Ceuta,2013,20.272,94.834,14686,26990.0,48040.0,9143.0,6.457442462208906,18992.878598429772,57.0729331258242
Ceuta,2014,20.029,95.132,13758,27584.0,48164.0,9207.0,6.9146678296264,18008.598038107895,56.69354364075099
Ceuta,2015,19.648,100.0,13362,27581.0,47442.0,9231.0,7.4839095943721,17829.410487742152,56.3083058371116
Ceuta,2016,19.908,105.155,14858,27882.0,47245.0,9380.0,7.077332076995558,19566.65501306007,55.90661128663898
Ceuta,2017,20.754,112.251,15075,28141.0,47321.0,9484.0,7.446169154228856,19043.175697265706,55.70715513384974
Ceuta,2018,20.772,121.766,14991,28427.0,47032.0,9668.0,8.122606897471817,18920.654534950892,55.249215877453686
Ceuta,2019,20.61,131.164,16059,28488.0,46433.0,9839.0,8.167631857525375,20427.930529380214,54.78173666823973
Ceuta,2020,20.149,136.954,15058,28500.0,45627.0,10053.0,9.09509895072387,19592.85217759272,54.20171062009979
Ceuta,2021,22.34,142.034,16159,28595.0,44683.0,10218.0,8.789776595086328,18963.35512415775,53.51513844974609
Ceuta,2022,25.785,154.237,18864,28474.0,44332.0,10288.0,8.176261662425786,19180.084577936985,53.3516258694972
Extremadura,2008,19.849,137.785,12484,344073.0,548322.0,205129.0,11.036927266901635,16489.177543081845,49.95990976051549
Extremadura,2009,18.155,137.26,13833,349741.0,544953.0,207460.0,9.922648738523819,19975.79118989983,49.44436076991055
Extremadura,2010,19.366,139.248,13509,356497.0,540494.0,209923.0,10.307794803464356,18288.039037488375,48.82890631069803
Extremadura,2011,20.399,130.763,13151,363238.0,534964.0,210853.0,9.943198235875599,16901.831421044884,48.23602075640974
Extremadura,2012,20.622,120.066,12281,369658.0,526962.0,211192.0,9.77656542626822,15613.016359636356,47.567818366293196
Extremadura,2013,20.212,102.356,12139,374683.0,517265.0,211732.0,8.431996045802784,15745.537398314704,46.867298492316614
Extremadura,2014,19.474,98.126,11345,377931.0,507919.0,213442.0,8.649272807404143,15273.311189548273,46.20419324437911
Extremadura,2015,19.333,100.0,12421,381093.0,496923.0,214610.0,8.050881571532083,16843.842690572703,45.47969753602788
Extremadura,2016,19.484,101.43,12775,384849.0,488042.0,214542.0,7.939726027397261,17189.634950134518,44.88019031977142
Extremadura,2017,20.323,101.85,12006,386277.0,477933.0,215353.0,8.483258370814593,15487.966043140124,44.27096890130544
Extremadura,2018,20.802,103.737,12376,387857.0,468160.0,216485.0,8.382110536522301,15597.6465420835,43.65120065044168
Extremadura,2019,20.528,105.765,12816,389304.0,459691.0,218337.0,8.252574906367041,16367.77798744718,43.06916685717284
