Renta;Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Media;Total Nacional;15 Navarra, Comunidad Foral de;2011;21.404
Media;Total Nacional;15 Navarra, Comunidad Foral de;2010;21.393
Media;Total Nacional;15 Navarra, Comunidad Foral de;2009;21.318
Media;Total Nacional;15 Navarra, Comunidad Foral de;2008;19.907
Media;Total Nacional;16 País Vasco;2023;26.298
Media;Total Nacional;16 País Vasco;2022;23.886
Media;Total Nacional;16 País Vasco;2021;22.658
Media;Total Nacional;16 País Vasco;2020;23.174
Media;Total Nacional;16 País Vasco;2019;22.480
Media;Total Nacional;16 País Vasco;2018;21.760
Media;Total Nacional;16 País Vasco;2017;21.198
Media;Total Nacional;16 País Vasco;2016;21.058
Media;Total Nacional;16 País Vasco;2015;20.264
Media;Total Nacional;16 País Vasco;2014;20.957
Media;Total Nacional;16 País Vasco;2013;20.955
Media;Total Nacional;16 País Vasco;2012;20.474
Media;Total Nacional;16 País Vasco;2011;20.834
Media;Total Nacional;16 País Vasco;2010;21.484
Media;Total Nacional;16 País Vasco;2009;22.138
Media;Total Nacional;16 País Vasco;2008;20.887
Media;Total Nacional;17 Rioja, La;2023;20.687
Media;Total Nacional;17 Rioja, La;2022;19.819
Media;Total Nacional;17 Rioja, La;2021;18.758
Media;Total Nacional;17 Rioja, La;2020;19.698
Media;Total Nacional;17 Rioja, La;2019;18.661
Media;Total Nacional;17 Rioja, La;2018;17.490
Media;Total Nacional;17 Rioja, La;2017;17.801
Media;Total Nacional;17 Rioja, La;2016;16.933
Media;Total Nacional;17 Rioja, La;2015;16.295
Media;Total Nacional;17 Rioja, La;2014;16.090
Media;Total Nacional;17 Rioja, La;2013;15.321
Media;Total Nacional;17 Rioja, La;2012;16.102
Media;Total Nacional;17 Rioja, La;2011;15.517
Media;Total Nacional;17 Rioja, La;2010;15.769
Media;Total Nacional;17 Rioja, La;2009;16.447
Media;Total Nacional;17 Rioja, La;2008;15.917
Media;Total Nacional;18 Ceuta;2023;20.670
Media;Total Nacional;18 Ceuta;2022;18.864
Media;Total Nacional;18 Ceuta;2021;16.159
Media;Total Nacional;18 Ceuta;2020;15.058
Media;Total Nacional;18 Ceuta;2019;16.059
Media;Total Nacional;18 Ceuta;2018;14.991
Media;Total Nacional;18 Ceuta;2017;15.075
Media;Total Nacional;18 Ceuta;2016;14.858
Media;Total Nacional;18 Ceuta;2015;13.362
Media;Total Nacional;18 Ceuta;2014;13.758
Media;Total Nacional;18 Ceuta;2013;14.686
Media;Total Nacional;18 Ceuta;2012;15.511
Media;Total Nacional;18 Ceuta;2011;16.208
Media;Total Nacional;18 Ceuta;2010;15.332
Media;Total Nacional;18 Ceuta;2009;14.261
Media;Total Nacional;18 Ceuta;2008;13.458
Media;Total Nacional;19 Melilla;2023;20.825
Media;Total Nacional;19 Melilla;2022;19.849
Media;Total Nacional;19 Melilla;2021;18.259
Media;Total Nacional;19 Melilla;2020;18.214
Media;Total Nacional;19 Melilla;2019;18.003
Media;Total Nacional;19 Melilla;2018;19.500
Media;Total Nacional;19 Melilla;2017;16.453
Media;Total Nacional;19 Melilla;2016;17.349
Media;Total Nacional;19 Melilla;2015;15.937
Media;Total Nacional;19 Melilla;2014;18.073
Media;Total Nacional;19 Melilla;2013;17.898
Media;Total Nacional;19 Melilla;2012;19.011
Media;Total Nacional;19 Melilla;2011;18.278
Media;Total Nacional;19 Melilla;2010;18.259
Media;Total Nacional;19 Melilla;2009;17.120
Media;Total Nacional;19 Melilla;2008;17.420
Mediana;Total Nacional;;2023;18.316
Mediana;Total Nacional;;2022;16.814
Mediana;Total Nacional;;2021;15.892
Mediana;Total Nacional;;2020;16.043
Mediana;Total Nacional;;2019;15.015
Mediana;Total Nacional;;2018;14.785
Mediana;Total Nacional;;2017;14.203
Mediana;Total Nacional;;2016;13.681
Mediana;Total Nacional;;2015;13.352
Mediana;Total Nacional;;2014;13.269
Mediana;Total Nacional;;2013;13.524
Mediana;Total Nacional;;2012;13.868
Mediana;Total Nacional;;2011;13.929
Mediana;Total Nacional;;2010;14.605
Mediana;Total Nacional;;2009;14.795
Mediana;Total Nacional;;2008;13.966
Mediana;Total Nacional;01 Andalucía;2023;15.206
Mediana;Total Nacional;01 Andalucía;2022;13.775
Mediana;Total Nacional;01 Andalucía;2021;12.736
Mediana;Total Nacional;01 Andalucía;2020;13.097
Mediana;Total Nacional;01 Andalucía;2019;11.663
Mediana;Total Nacional;01 Andalucía;2018;11.625
Mediana;Total Nacional;01 Andalucía;2017;11.453
Mediana;Total Nacional;01 Andalucía;2016;10.459
Mediana;Total Nacional;01 Andalucía;2015;10.091
Mediana;Total Nacional;01 Andalucía;2014;10.152
Mediana;Total Nacional;01 Andalucía;2013;10.866
Mediana;Total Nacional;01 Andalucía;2012;11.117
Mediana;Total Nacional;01 Andalucía;2011;11.369
Mediana;Total Nacional;01 Andalucía;2010;12.086
Mediana;Total Nacional;01 Andalucía;2009;12.695
Mediana;Total Nacional;01 Andalucía;2008;11.651
Mediana;Total Nacional;02 Aragón;2023;19.781
Mediana;Total Nacional;02 Aragón;2022;19.325
Mediana;Total Nacional;02 Aragón;2021;18.121
Mediana;Total Nacional;02 Aragón;2020;18.042
Mediana;Total Nacional;02 Aragón;2019;17.241
Mediana;Total Nacional;02 Aragón;2018;15.867
Mediana;Total Nacional;02 Aragón;2017;15.839
Mediana;Total Nacional;02 Aragón;2016;15.751
Mediana;Total Nacional;02 Aragón;2015;16.267
Mediana;Total Nacional;02 Aragón;2014;15.904
Mediana;Total Nacional;02 Aragón;2013;16.121
Mediana;Total Nacional;02 Aragón;2012;16.065
Mediana;Total Nacional;02 Aragón;2011;16.422
Mediana;Total Nacional;02 Aragón;2010;16.903
Mediana;Total Nacional;02 Aragón;2009;17.193
Mediana;Total Nacional;02 Aragón;2008;16.303
Mediana;Total Nacional;03 Asturias, Principado de;2023;19.861
Mediana;Total Nacional;03 Asturias, Principado de;2022;17.632
Mediana;Total Nacional;03 Asturias, Principado de;2021;16.801
Mediana;Total Nacional;03 Asturias, Principado de;2020;15.930
Mediana;Total Nacional;03 Asturias, Principado de;2019;15.982
Mediana;Total Nacional;03 Asturias, Principado de;2018;15.925
Mediana;Total Nacional;03 Asturias, Principado de;2017;15.698
Mediana;Total Nacional;03 Asturias, Principado de;2016;16.277
Mediana;Total Nacional;03 Asturias, Principado de;2015;14.880
Mediana;Total Nacional;03 Asturias, Principado de;2014;14.724
Mediana;Total Nacional;03 Asturias, Principado de;2013;15.134
Mediana;Total Nacional;03 Asturias, Principado de;2012;15.550
Mediana;Total Nacional;03 Asturias, Principado de;2011;15.693
Mediana;Total Nacional;03 Asturias, Principado de;2010;15.841
Mediana;Total Nacional;03 Asturias, Principado de;2009;16.083
Mediana;Total Nacional;03 Asturias, Principado de;2008;14.964
Mediana;Total Nacional;04 Balears, Illes;2023;19.745
Mediana;Total Nacional;04 Balears, Illes;2022;16.878
Mediana;Total Nacional;04 Balears, Illes;2021;15.765
